543,2,623,8432,356,12840,1065,3406,3315
564,2,623,168,1828,9728,1114,4571,970
543,2,626,11272,5076,12240,2676,5466,831
544,2,626,14752,2892,12280,1555,2018,3246
546,2,621,4240,1052,5084,1732,264,531
544,2,621,6864,492,8924,2561,2562,367
564,2,621,13020,64,13848,4431,6950,1644
544,2,626,3012,1980,23212,887,2161,1681
544,2,620,6032,2984,6652,984,1891,387
544,2,619,9388,5168,14504,38,481,1033
564,2,619,7376,1428,5648,3142,6432,499
543,2,619,3980,3848,7940,3241,2018,1628
564,2,616,5844,3736,10760,3331,3517,612
544,2,621,5108,4036,18308,2239,1616,597
544,2,615,5664,2348,6888,1467,2783,854
546,2,619,7640,3096,8160,2168,3131,1447
544,2,613,10584,4948,15972,1745,2334,688
544,2,613,8196,2956,14936,1174,4220,548
544,2,613,3760,776,6956,2240,576,128
544,2,619,11516,2168,11624,9633,2341,3455
546,2,620,6696,136,12872,688,9713,964
544,2,616,1492,1384,7380,755,3000,1775
546,2,618,7500,2216,14364,69,491,140
543,2,618,6464,2460,14552,383,2748,3561
544,2,618,3000,4,10184,3120,2378,808
546,2,623,5652,1616,7776,4215,3589,2727
544,2,617,8756,736,10448,955,1277,593
544,2,622,6064,3716,9204,761,177,70
564,2,617,5616,3804,11268,692,960,134
544,2,616,9364,2784,15844,570,744,15
543,2,617,1232,2248,16252,160,4048,143
544,2,616,6480,352,3060,2520,4576,2231
544,2,615,7052,696,8148,3404,1122,211
544,2,620,7796,2076,15872,1979,2619,39
544,2,614,4716,4584,20408,6595,266,1319
564,2,612,4680,4200,8376,1584,4764,826
544,2,616,3824,1736,8864,1000,936,1194
543,2,607,1892,2572,15592,1216,542,883
544,2,610,3508,1624,16316,2968,3910,3188
544,2,595,12672,416,10372,2028,4387,208
544,2,588,8804,5428,13756,2138,1741,2534
563,2,583,7932,4880,14072,120,1757,625
544,2,587,8540,1356,3564,1506,445,1756
544,2,579,7808,1992,11896,948,792,4159
546,2,582,3844,3552,21304,2723,7041,1061
544,2,584,6172,4276,12028,1778,5012,3348
544,2,587,6560,4744,9592,897,553,176
544,2,590,4256,5180,14748,193,4021,808
563,2,592,3616,2908,13200,130,1364,889
544,2,594,9084,5056,9112,704,3713,4561
564,2,595,6552,2360,11572,954,1200,1869
543,2,598,4772,4112,12916,244,336,759
544,2,600,4832,5660,10776,586,1274,279
543,2,601,7856,3248,11068,5506,212,3556
543,2,602,2556,796,13560,1458,3236,1979
543,2,604,5592,468,9892,8020,2969,2499
544,2,604,8356,1452,10716,8459,1722,382
564,2,605,5672,6264,9956,3470,386,410
544,2,604,6652,6804,11016,359,1431,455
543,2,604,8156,5524,9204,1295,2078,148
544,2,604,2680,1848,11568,1118,986,186
544,2,611,4876,3544,15012,239,1355,323
544,2,604,9800,1284,6340,877,3542,8062
546,2,604,5892,3624,11872,1119,1624,3549
546,2,603,7092,1364,14064,2023,187,3573
544,2,604,7548,1712,6432,350,910,3648
564,2,606,2504,2968,14844,1076,1076,4436
544,2,608,5580,2924,14272,4844,3408,641
546,2,617,8196,3644,10692,3905,181,1474
564,2,612,6004,4796,11020,154,189,239
544,2,614,7804,5792,13408,2179,314,1041
564,2,614,8760,552,10704,2530,1378,3039
544,2,614,5100,3772,10000,4354,1403,622
546,2,620,7388,2624,5556,4844,2326,1665
543,2,616,7440,6284,14392,1431,4476,4229
544,2,617,5892,5436,10192,3855,1515,1205
544,2,617,7100,6736,11216,1883,899,169
544,2,619,7084,5768,12060,3892,244,1329
